,Unnamed: 0,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score,ParameterName,Parameter
85,6,Industrial_Estate,48.0253164556962,ROOTSIFT,0.7088607594936709,0.014760147601476,0.985239852398524,0.0147601476014759,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
86,7,Industrial_Estate,63.08860759493671,ROOTSIFT,0.9620253164556962,0.0152487961476725,0.9847512038523276,0.0152487961476725,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
87,8,Industrial_Estate,63.30379746835443,ROOTSIFT,0.4810126582278481,0.0075984803039392,0.9924015196960608,0.0075984803039391,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
88,9,Industrial_Estate,40.392405063291136,ROOTSIFT,0.5949367088607594,0.0147289251018489,0.9852710748981512,0.0147289251018489,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
89,10,Industrial_Estate,39.35443037974684,ROOTSIFT,0.4050632911392405,0.0102926986169186,0.9897073013830812,0.0102926986169186,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
90,11,Industrial_Estate,50.24050632911393,ROOTSIFT,2.8227848101265822,0.056185437137818,0.943814562862182,0.056185437137818,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
91,12,Industrial_Estate,52.50632911392405,ROOTSIFT,5.582278481012659,0.1063162970106075,0.8936837029893925,0.1063162970106075,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
92,13,Industrial_Estate,59.50632911392405,ROOTSIFT,1.7341772151898731,0.0291427355881727,0.9708572644118272,0.0291427355881727,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
93,14,Industrial_Estate,45.45569620253165,ROOTSIFT,2.2151898734177213,0.0487329434697855,0.9512670565302144,0.0487329434697855,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
94,15,Industrial_Estate,48.848101265822784,ROOTSIFT,0.2911392405063291,0.0059600932884166,0.9940399067115832,0.0059600932884167,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
95,16,Industrial_Estate,39.0126582278481,ROOTSIFT,1.1265822784810129,0.0288773523685918,0.9711226476314082,0.0288773523685918,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
96,17,Industrial_Estate,62.21518987341772,ROOTSIFT,2.354430379746836,0.0378433367243133,0.9621566632756866,0.0378433367243133,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
97,18,Industrial_Estate,63.29113924050633,ROOTSIFT,0.9746835443037974,0.0153999999999999,0.9846,0.0154,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
98,19,Industrial_Estate,57.32911392405063,ROOTSIFT,1.2151898734177216,0.021196732170457,0.978803267829543,0.021196732170457,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
99,20,Industrial_Estate,63.29113924050633,ROOTSIFT,0.379746835443038,0.006,0.994,0.006,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
100,21,Industrial_Estate,63.29113924050633,ROOTSIFT,1.6835443037974684,0.0266,0.9734,0.0265999999999999,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
101,22,Industrial_Estate,63.29113924050633,ROOTSIFT,5.79746835443038,0.0915999999999999,0.9084,0.0916,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
102,23,Industrial_Estate,63.29113924050633,ROOTSIFT,1.6835443037974684,0.0266,0.9734,0.0265999999999999,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
103,24,Industrial_Estate,63.29113924050633,ROOTSIFT,3.886075949367088,0.0613999999999999,0.9386,0.0614,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
104,25,Industrial_Estate,63.29113924050633,ROOTSIFT,3.050632911392405,0.0481999999999999,0.9518,0.0482,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
105,26,Industrial_Estate,63.29113924050633,ROOTSIFT,2.0253164556962027,0.032,0.968,0.032,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
106,27,Industrial_Estate,63.29113924050633,ROOTSIFT,0.7215189873417721,0.0113999999999999,0.9886,0.0114,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
107,28,Industrial_Estate,63.29113924050633,ROOTSIFT,6.759493670886076,0.1067999999999999,0.8932000000000001,0.1067999999999999,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
108,29,Industrial_Estate,63.30379746835443,ROOTSIFT,1.4177215189873418,0.0223955208958208,0.9776044791041792,0.0223955208958208,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
109,30,Industrial_Estate,63.29113924050633,ROOTSIFT,2.9746835443037973,0.0469999999999999,0.953,0.0469999999999999,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
110,31,Industrial_Estate,63.29113924050633,ROOTSIFT,11.949367088607596,0.1888,0.8112,0.1888,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
111,32,Industrial_Estate,63.29113924050633,ROOTSIFT,1.5569620253164558,0.0246,0.9754,0.0246,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
112,33,Industrial_Estate,63.29113924050633,ROOTSIFT,2.5443037974683542,0.0401999999999999,0.9598,0.0402,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
113,34,Industrial_Estate,63.29113924050633,ROOTSIFT,2.6455696202531644,0.0418,0.9582,0.0417999999999999,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
114,35,Industrial_Estate,63.29113924050633,ROOTSIFT,4.1265822784810124,0.0652,0.9348,0.0651999999999999,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
115,36,Industrial_Estate,63.31645569620253,ROOTSIFT,3.392405063291139,0.0535785685725709,0.9464214314274292,0.0535785685725709,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
116,37,Industrial_Estate,63.29113924050633,ROOTSIFT,4.810126582278481,0.076,0.924,0.0759999999999999,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
